,District_ID,District,Neighborhood,Latitude,Longitude
0,0,Manhattan,Marble Hill,40.87655077879964,-73.91065965862981
1,0,Manhattan,Chinatown,40.71561842231432,-73.99427936255978
2,0,Manhattan,Washington Heights,40.85190252555305,-73.93690027985234
3,0,Manhattan,Inwood,40.86768396449915,-73.92121042203897
4,0,Manhattan,Hamilton Heights,40.823604284811935,-73.94968791883366
5,0,Manhattan,Manhattanville,40.8169344294978,-73.9573853935188
6,0,Manhattan,Central Harlem,40.81597606742414,-73.94321112603905
7,0,Manhattan,East Harlem,40.79224946663033,-73.94418223148524
8,0,Manhattan,Upper East Side,40.775638573301805,-73.96050763135
9,0,Manhattan,Yorkville,40.775929849884875,-73.94711784471826
10,0,Manhattan,Lenox Hill,40.76811265828733,-73.9588596881376
11,0,Manhattan,Roosevelt Island,40.76215960576283,-73.94916769227953
12,0,Manhattan,Upper West Side,40.787657998534854,-73.97705923630603
13,0,Manhattan,Lincoln Square,40.77352888942166,-73.98533777001262
14,0,Manhattan,Clinton,40.75910089146212,-73.99611936309479
15,0,Manhattan,Midtown,40.75469110270623,-73.98166882730304
16,0,Manhattan,Murray Hill,40.748303077252174,-73.97833207924127
17,0,Manhattan,Chelsea,40.744034706747975,-74.00311633472813
18,0,Manhattan,Greenwich Village,40.72693288536128,-73.99991402945902
19,0,Manhattan,East Village,40.727846777270244,-73.98222616506416
20,0,Manhattan,Lower East Side,40.71780674892765,-73.98089031999291
21,0,Manhattan,Tribeca,40.721521967443216,-74.01068328559087
22,0,Manhattan,Little Italy,40.71932379395907,-73.99730467208073
23,0,Manhattan,Soho,40.72218384131794,-74.00065666959759
24,0,Manhattan,West Village,40.73443393572434,-74.00617998126812
25,0,Manhattan,Manhattan Valley,40.797307041702865,-73.96428617740655
26,0,Manhattan,Morningside Heights,40.807999738165826,-73.96389627905332
27,0,Manhattan,Gramercy,40.737209832715,-73.98137594833541
28,0,Manhattan,Battery Park City,40.71193198394565,-74.01686930508617
29,0,Manhattan,Financial District,40.70710710727048,-74.0106654452127
30,0,Manhattan,Carnegie Hill,40.7826825671257,-73.95325646837112
31,0,Manhattan,Noho,40.72325901885768,-73.98843368023597
32,0,Manhattan,Civic Center,40.71522892046282,-74.00541529873355
33,0,Manhattan,Midtown South,40.7485096643122,-73.98871313285247
34,0,Manhattan,Sutton Place,40.76028033131374,-73.96355614094303
35,0,Manhattan,Turtle Bay,40.75204236950722,-73.96770824581834
36,0,Manhattan,Tudor City,40.746917410740195,-73.97121928722265
37,0,Manhattan,Stuyvesant Town,40.73099955477061,-73.97405170469203
38,0,Manhattan,Flatiron,40.739673047638426,-73.9909471052826
39,0,Manhattan,Hudson Yards,40.75665808227519,-74.00011136202637
40,1,Ciutat Vella,La Barceloneta,41.38185000000004,2.1915100000000507
41,1,Ciutat Vella,El Gòtic,41.38280000000003,2.1772700000000214
42,1,Ciutat Vella,El Raval,41.37763000000007,2.17145000000005
43,1,Ciutat Vella,Sant Pere,41.3840967969,2.17629596148
44,1,Ciutat Vella,Santa Caterina i la Ribera,42.283900000000074,2.018920000000037
45,2,Eixample,L'Antiga Esquerra de l'Eixample,41.39069000000006,2.1449400000000196
46,2,Eixample,La Nova Esquerra de l'Eixample,41.385710000000074,2.1425400000000536
47,2,Eixample,Dreta de l'Eixample,41.39498000000003,2.1674800000000687
48,2,Eixample,Fort Pienc,41.39519000000007,2.1830700000000434
49,2,Eixample,Sagrada Família,41.40315001832192,2.174899956142963
50,2,Eixample,Sant Antoni,41.37564000000003,2.1592300000000364
51,3,Sants-Montjuïc,La Bordeta,41.369860000000074,2.136220000000037
52,3,Sants-Montjuïc,la Font de la Guatlla,41.37131000000005,2.1464500000000726
53,3,Sants-Montjuïc,Hostafrancs,41.37522000000007,2.145970000000034
54,3,Sants-Montjuïc,la Marina de Port,41.36045000000007,2.1384700000000407
55,3,Sants-Montjuïc,la Marina del Prat Vermell,41.36045000000007,2.1384700000000407
56,3,Sants-Montjuïc,El Poble-sec,41.37175000000008,2.166680000000042
57,3,Sants-Montjuïc,Sants,41.37720000000007,2.1376000000000204
58,3,Sants-Montjuïc,Sants-Badal,41.37561000000005,2.127300000000048
59,3,Sants-Montjuïc,Montjuïc,41.37172000000004,2.1515700000000493
60,3,Sants-Montjuïc,Zona Franca - Port,41.35186761513899,2.1449695333004715
61,4,Les Corts,les Corts,41.38695000000007,2.1363100000000372
62,4,Les Corts,la Maternitat i Sant Ramon,41.381680000000074,2.12137000000007
63,4,Les Corts,Pedralbes,41.391230000000064,2.1111100000000533
64,5,Sarrià-Sant Gervasi,El Putget i Farró,41.40849000000003,2.140790000000038
65,5,Sarrià-Sant Gervasi,Sarrià,41.40375000000006,2.1160900000000424
66,5,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,41.41127000000006,2.1320500000000493
67,5,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39786000000004,2.139820000000043
68,5,Sarrià-Sant Gervasi,les Tres Torres,41.39779000000004,2.1303500000000213
69,5,Sarrià-Sant Gervasi,Vallvidrera,41.408998364,2.105166246
70,5,Sarrià-Sant Gervasi,Tibidabo i les Planes,41.42036000000007,2.096240000000023
71,6,Gràcia,Vila de Gràcia,41.404450000000054,2.155050000000074
72,6,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40859000000006,2.163820000000044
73,6,Gràcia,la Salut,41.411550000000034,2.154070000000047
74,6,Gràcia,el Coll,41.41818000000006,2.1478000000000748
75,6,Gràcia,Vallcarca i els Penitents,41.41324000000003,2.144550000000038
